api,http-method,description,functionName,functionParameters
/repositories/{username}/{repo_slug}/src/{node}/{path},GET,,repositoriesUsernameRepoSlugSrcNodePathGet,username node path repoSlug opts
/teams/{username}/repositories,GET,All repositories owned by a user/team. This includes private repositories, but filtered down to the ones that the calling user has access to.,teamsUsernameRepositoriesGet,username
/user/emails/{email},GET,Returns details about a specific one of the authenticated user&#39;s email addresses.  Details describe whether the address has been confirmed by the user and whether it is the user&#39;s primary address or not.,userEmailsEmailGet,email
/user/emails,GET,Returns all the authenticated user&#39;s email addresses. Both confirmed and unconfirmed.,userEmailsGet,
/user,GET,Returns the currently logged in user.,userGet,
/users/{username}/followers,GET,Returns the list of accounts that are following this team.,usersUsernameFollowersGet,username
/users/{username}/following,GET,Returns the list of accounts this user is following.,usersUsernameFollowingGet,username
/users/{username},GET,Gets the public information associated with a user account.  If the user&#39;s profile is private, &#x60;location&#x60;, &#x60;website&#x60; and &#x60;created_on&#x60; elements are omitted.,usersUsernameGet,username
/users/{username}/hooks,GET,Returns a paginated list of webhooks installed on this user account.,usersUsernameHooksGet,username
/users/{username}/hooks,POST,Creates a new webhook on the specified user account.  Account-level webhooks are fired for events from all repositories belonging to that account.  Note that one can only register webhooks on one&#39;s own account, not that of others.,usersUsernameHooksPost,username
/users/{username}/hooks/{uid},DELETE,Deletes the specified webhook subscription from the given user account.,usersUsernameHooksUidDelete,username uid
/users/{username}/hooks/{uid},GET,Returns the webhook with the specified id installed on the given user account.,usersUsernameHooksUidGet,username uid
/users/{username}/hooks/{uid},PUT,Updates the specified webhook subscription.  The following properties can be mutated:  * &#x60;description&#x60; * &#x60;url&#x60; * &#x60;active&#x60; * &#x60;events&#x60;,usersUsernameHooksUidPut,username uid
/users/{username}/repositories,GET,All repositories owned by a user/team. This includes private repositories, but filtered down to the ones that the calling user has access to.,usersUsernameRepositoriesGet,username
/repositories/{username}/{repo_slug}/commit/{node}/statuses/build/{key},GET,Returns the specified build status for a commit.,repositoriesUsernameRepoSlugCommitNodeStatusesBuildKeyGet,username repoSlug node key
/repositories/{username}/{repo_slug}/commit/{node}/statuses/build/{key},PUT,Used to update the current status of a build status object on the specific commit.  This operation can also be used to change other properties of the build status:  * &#x60;state&#x60; * &#x60;name&#x60; * &#x60;description&#x60; * &#x60;url&#x60; * &#x60;refname&#x60;  The &#x60;key&#x60; cannot be changed.,repositoriesUsernameRepoSlugCommitNodeStatusesBuildKeyPut,username repoSlug node key opts
/repositories/{username}/{repo_slug}/commit/{node}/statuses/build,POST,Creates a new build status against the specified commit.  If the specified key already exists, the existing status object will be overwritten.  When creating a new commit status, you can use a URI template for the URL. Templates are URLs that contain variable names that Bitbucket will evaluate at runtime whenever the URL is displayed anywhere similar to parameter substitution in [Bitbucket Connect](https://developer.atlassian.com/bitbucket/concepts/context-parameters.html). For example, one could use &#x60;https://foo.com/builds/{repository.full_name}&#x60; which Bitbucket will turn into &#x60;https://foo.com/builds/foo/bar&#x60; at render time. The context variables available are &#x60;repository&#x60; and &#x60;commit&#x60;.,repositoriesUsernameRepoSlugCommitNodeStatusesBuildPost,username repoSlug node
/repositories/{username}/{repo_slug}/commit/{node}/statuses,GET,Returns all statuses (e.g. build results) for a specific commit.,repositoriesUsernameRepoSlugCommitNodeStatusesGet,username repoSlug node
/repositories/{username}/{repo_slug}/pullrequests/{pull_request_id}/statuses,GET,Returns all statuses (e.g. build results) for the given pull request.,repositoriesUsernameRepoSlugPullrequestsPullRequestIdStatusesGet,username repoSlug pullRequestId
/repositories,GET,Returns a paginated list of all public repositories.  This endpoint also supports filtering and sorting of the results. See [filtering and sorting](../meta/filtering) for more details.,repositoriesGet,opts
/repositories/{username},GET,Returns a paginated list of all repositories owned by the specified account or UUID.  The result can be narrowed down based on the authenticated user&#39;s role.  E.g. with &#x60;?role&#x3D;contributor&#x60;, only those repositories that the authenticated user has write access to are returned (this includes any repo the user is an admin on, as that implies write access).  This endpoint also supports filtering and sorting of the results. See [filtering and sorting](../../meta/filtering) for more details.,repositoriesUsernameGet,username opts
/repositories/{username}/{repo_slug}/commit/{node}/statuses/build/{key},GET,Returns the specified build status for a commit.,repositoriesUsernameRepoSlugCommitNodeStatusesBuildKeyGet,username repoSlug node key
