api,http-method,description,functionName,functionParameters
/emojis,GET,"


Lists all the emojis available to use on GitHub.

",emojisGet,opts
/events,GET,"


List public events.

",eventsGet,opts
/feeds,GET,"


List Feeds. GitHub provides several timeline resources in Atom format. The Feeds API  lists all the feeds available to the authenticating user. 

",feedsGet,opts
/gists,GET,"


List the authenticated user&#39;s gists or if called anonymously, this will return all public gists. 

",gistsGet,opts
/gists/{id}/comments/{commentId},DELETE,"


Delete a comment.

",gistsIdCommentsCommentIdDelete,id commentId opts
/gists/{id}/comments/{commentId},GET,"


Get a single comment.

",gistsIdCommentsCommentIdGet,id commentId opts
/gists/{id}/comments/{commentId},PATCH,"


Edit a comment.

",gistsIdCommentsCommentIdPatch,id commentId body opts
/gists/{id}/comments,GET,"


List comments on a gist.

",gistsIdCommentsGet,id opts
/gists/{id}/comments,POST,"


Create a commen

",gistsIdCommentsPost,id body opts
/gists/{id},DELETE,"


Delete a gist.

",gistsIdDelete,id opts
/gists/{id}/forks,POST,"


Fork a gist.

",gistsIdForksPost,id opts
/gists/{id},GET,"


Get a single gist.

",gistsIdGet,id opts
/gists/{id},PATCH,"


Edit a gist.

",gistsIdPatch,id body opts
/gists/{id}/star,DELETE,"


Unstar a gist.

",gistsIdStarDelete,id opts
/gists/{id}/star,GET,"


Check if a gist is starred.

",gistsIdStarGet,id opts
/gists/{id}/star,PUT,"


Star a gist.

",gistsIdStarPut,id opts
/gists,POST,"


Create a gist.

",gistsPost,body opts
/gists/public,GET,"


List all public gists.

",gistsPublicGet,opts
/gists/starred,GET,"


List the authenticated user&#39;s starred gists.

",gistsStarredGet,opts
/gitignore/templates,GET,"


Listing available templates. List all templates available to pass as an option when creating a repository. 

",gitignoreTemplatesGet,opts
/gitignore/templates/{language},GET,"


Get a single template.

",gitignoreTemplatesLanguageGet,language opts
/issues,GET,"


List issues. List all issues across all the authenticated user&#39;s visible repositories. 

",issuesGet,filter state labels sort direction opts
/legacy/issues/search/{owner}/{repository}/{state}/{keyword},GET,"


Find issues by state and keyword.

",legacyIssuesSearchOwnerRepositoryStateKeywordGet,keyword state owner repository opts
/legacy/repos/search/{keyword},GET,"


Find repositories by keyword. Note, this legacy method does not follow the v3 pagination pattern. This method returns up to 100 results per page and pages can be fetched using the start_page parameter.

",legacyReposSearchKeywordGet,keyword opts
/legacy/user/email/{email},GET,"


This API call is added for compatibility reasons only.

",legacyUserEmailEmailGet,email opts
/legacy/user/search/{keyword},GET,"


Find users by keyword.

",legacyUserSearchKeywordGet,keyword opts
/markdown,POST,"


Render an arbitrary Markdown document

",markdownPost,body opts
/markdown/raw,POST,"


Render a Markdown document in raw mode

",markdownRawPost,opts
/meta,GET,"


This gives some information about GitHub.com, the service.

",metaGet,opts
/networks/{owner}/{repo}/events,GET,"


List public events for a network of repositories.

",networksOwnerRepoEventsGet,owner repo opts
/notifications,GET,"


List your notifications. List all notifications for the current user, grouped by repository. 

",notificationsGet,opts
/notifications,PUT,"


Mark as read. Marking a notification as \&quot;read\&quot; removes it from the default view on GitHub.com. 

",notificationsPut,body opts
/notifications/threads/{id},GET,"


View a single thread.

",notificationsThreadsIdGet,id opts
/notifications/threads/{id},PATCH,"


Mark a thread as read

",notificationsThreadsIdPatch,id opts
/notifications/threads/{id}/subscription,DELETE,"


Delete a Thread Subscription.

",notificationsThreadsIdSubscriptionDelete,id opts
/notifications/threads/{id}/subscription,GET,"


Get a Thread Subscription.

",notificationsThreadsIdSubscriptionGet,id opts
/notifications/threads/{id}/subscription,PUT,"


Set a Thread Subscription. This lets you subscribe to a thread, or ignore it. Subscribing to a thread is unnecessary if the user is already subscribed to the repository. Ignoring a thread will mute all future notifications (until you comment or get @mentioned). 

",notificationsThreadsIdSubscriptionPut,id body opts
/orgs/{org}/events,GET,"


List public events for an organization.

",orgsOrgEventsGet,org opts
/orgs/{org},GET,"


Get an Organization.

",orgsOrgGet,org opts
/orgs/{org}/issues,GET,"


List issues. List all issues for a given organization for the authenticated user. 

",orgsOrgIssuesGet,org filter state labels sort direction opts
/orgs/{org}/members,GET,"


Members list. List all users who are members of an organization. A member is a user tha belongs to at least 1 team in the organization. If the authenticated user is also an owner of this organization then both concealed and public members will be returned. If the requester is not an owner of the organization the query will be redirected to the public members list. 

",orgsOrgMembersGet,org opts
/orgs/{org}/members/{username},DELETE,"


Remove a member. Removing a user from this list will remove them from all teams and they will no longer have any access to the organization&#39;s repositories. 

",orgsOrgMembersUsernameDelete,org username opts
/orgs/{org}/members/{username},GET,"


Check if a user is, publicly or privately, a member of the organization.

",orgsOrgMembersUsernameGet,org username opts
/orgs/{org},PATCH,"


Edit an Organization.

",orgsOrgPatch,org body opts
/orgs/{org}/public_members,GET,"


Public members list. Members of an organization can choose to have their membership publicized or not. 

",orgsOrgPublicMembersGet,org opts
/orgs/{org}/public_members/{username},DELETE,"


Conceal a user&#39;s membership.

",orgsOrgPublicMembersUsernameDelete,org username opts
/orgs/{org}/public_members/{username},GET,"


Check public membership.

",orgsOrgPublicMembersUsernameGet,org username opts
/orgs/{org}/public_members/{username},PUT,"


Publicize a user&#39;s membership.

",orgsOrgPublicMembersUsernamePut,org username opts
/orgs/{org}/repos,GET,"


List repositories for the specified org.

",orgsOrgReposGet,org opts
/orgs/{org}/repos,POST,"


Create a new repository for the authenticated user. OAuth users must supply repo scope. 

",orgsOrgReposPost,org body opts
/orgs/{org}/teams,GET,"


List teams.

",orgsOrgTeamsGet,org opts
/orgs/{org}/teams,POST,"


Create team. In order to create a team, the authenticated user must be an owner of organization. 

",orgsOrgTeamsPost,org body opts
/rate_limit,GET,"


Get your current rate limit status Note: Accessing this endpoint does not count against your rate limit. 

",rateLimitGet,opts
/repos/{owner}/{repo}/{archive_format}/{path},GET,"


Get archive link. This method will return a 302 to a URL to download a tarball or zipball archive for a repository. Please make sure your HTTP framework is configured to follow redirects or you will need to use the Location header to make a second GET request. Note: For private repositories, these links are temporary and expire quickly. 

",reposOwnerRepoArchiveFormatPathGet,owner repo archiveFormat path opts
/repos/{owner}/{repo}/assignees/{assignee},GET,"


Check assignee. You may also check to see if a particular user is an assignee for a repository. 

",reposOwnerRepoAssigneesAssigneeGet,owner repo assignee opts
/repos/{owner}/{repo}/assignees,GET,"


List assignees. This call lists all the available assignees (owner + collaborators) to which issues may be assigned. 

",reposOwnerRepoAssigneesGet,owner repo opts
/repos/{owner}/{repo}/branches/{branch},GET,"


Get Branch

",reposOwnerRepoBranchesBranchGet,owner repo branch opts
/repos/{owner}/{repo}/branches,GET,"


Get list of branches

",reposOwnerRepoBranchesGet,owner repo opts
/repos/{owner}/{repo}/collaborators,GET,"


List. When authenticating as an organization owner of an organization-owned repository, all organization owners are included in the list of collaborators. Otherwise, only users with access to the repository are returned in the collaborators list. 

",reposOwnerRepoCollaboratorsGet,owner repo opts
