api,http-method,description,functionName,functionParameters
/application-properties/advanced-settings,GET,"


Returns the application properties that are accessible on the Advanced Settings page. To navigate to the Advanced Settings page in Jira, choose the Jira icon &gt; Jira settings &gt; System, General Configuration and then click Advanced Settings (in the upper right).

",applicationPropertiesAdvancedSettingsGet,
/application-properties,GET,"


Returns all application properties or a single application property.

",applicationPropertiesGet,opts
/application-properties/{id},PUT,"


Changes the value of an application property. For example, you can change the value of the jira.clone.prefix from its default value of CLONE - to Clone - if you prefer sentence case capitalization. Editable properties are described below along with their default values.

",applicationPropertiesIdPut,id opts
/applicationrole,GET,"


Returns all application roles. In Jira, application roles are managed using the Application access configuration page.

",applicationroleGet,
/applicationrole/{key},GET,"


Returns an application role.

",applicationroleKeyGet,key
/attachment/{id},DELETE,"


Deletes an attachment from an issue.

",attachmentIdDelete,id
/attachment/{id}/expand/human,GET,"


Returns the metadata for the contents of an attachment, if it is an archive, and metadata for the attachment itself. For example, if the attachment is a ZIP archive, then information about the files in the archive is returned and metadata for the ZIP archive. Currently, only the ZIP archive format is supported.

",attachmentIdExpandHumanGet,id
/attachment/{id}/expand/raw,GET,"


Returns the metadata for the contents of an attachment, if it is an archive. For example, if the attachment is a ZIP archive, then information about the files in the archive is returned. Currently, only the ZIP archive format is supported.

",attachmentIdExpandRawGet,id
/attachment/{id},GET,"


Returns the metadata for an attachment. Note that the attachment itself is not returned.

",attachmentIdGet,id
/attachment/meta,GET,"


Returns the global attachment settings, that is, whether attachments are enabled and the maximum attachment size allowed.

",attachmentMetaGet,
/auditing/record,GET,"


Returns a list of audit records. The list can be filtered to include items:

",auditingRecordGet,opts
/avatar/{type}/system,GET,"


Returns a list of system avatar details by owner type, where the owner types are issue type, project, or user.

",avatarTypeSystemGet,type
/comment/{commentId}/properties,GET,"


Returns the keys of all the properties of a comment.

",commentCommentIdPropertiesGet,commentId
/comment/{commentId}/properties/{propertyKey},DELETE,"


Deletes a comment property.

",commentCommentIdPropertiesPropertyKeyDelete,commentId propertyKey
/comment/{commentId}/properties/{propertyKey},GET,"


Returns the value of a comment property.

",commentCommentIdPropertiesPropertyKeyGet,commentId propertyKey
/comment/{commentId}/properties/{propertyKey},PUT,"


Creates or updates the value of a property for a comment. Use this resource to store custom data against a comment.

",commentCommentIdPropertiesPropertyKeyPut,commentId propertyKey
/comment/list,POST,"


Returns the comments for a list of comment IDs.

",commentListPost,opts
/component/{id},DELETE,"


Deletes a component. Permissions required: Any of the following:

",componentIdDelete,id opts
/component/{id},GET,"


Returns a component. Permissions required: Browse projects project permission.

",componentIdGet,id
/component/{id},PUT,"


Modifies a component. Any fields included in the request are overwritten. If leadUserName is an empty string (\&quot;\&quot;) the component lead is removed. Permissions required: Any of the following:

",componentIdPut,id opts
/component/{id}/relatedIssueCounts,GET,"


Returns the counts of issues assigned to the component. Permissions required: Permission to access Jira.

",componentIdRelatedIssueCountsGet,id
/component,POST,"


Creates a component. Use components to provide containers for issues within a project. Permissions required: Any of the following:

",componentPost,opts
/configuration,GET,"


Returns the global settings in Jira. These settings determine whether optional features (for example, sub-tasks, time tracking, and others) are enabled. If time tracking is enabled, this method also returns the time tracking configuration.

",configurationGet,
/configuration/timetracking,DELETE,"


Disables time tracking.

",configurationTimetrackingDelete,
/configuration/timetracking,GET,"


Returns the time tracking provider that is currently selected. Note that if time tracking is disabled, then a successful but empty response is returned.

",configurationTimetrackingGet,
/configuration/timetracking/list,GET,"


Returns all time tracking providers. By default, Jira only has one time tracking provider: JIRA provided time tracking. However, you can install other time tracking providers via apps from the Atlassian Marketplace. For more information on time tracking providers, see the documentation for the Time Tracking Provider module.

",configurationTimetrackingListGet,
/configuration/timetracking/options,GET,"


Returns the time tracking settings. This includes settings such as the time format, default time unit, and others. For more information, see Configuring time tracking.

",configurationTimetrackingOptionsGet,
/configuration/timetracking/options,PUT,"


Sets the time tracking settings.

",configurationTimetrackingOptionsPut,opts
/configuration/timetracking,PUT,"


Selects a time tracking provider.

",configurationTimetrackingPut,opts
/customFieldOption/{id},GET,"


Returns a custom field option. For example, an option in a cascading select list.

",customFieldOptionIdGet,id
/dashboard/{dashboardId}/items/{itemId}/properties,GET,"


Returns the keys of all properties for a dashboard item.

",dashboardDashboardIdItemsItemIdPropertiesGet,dashboardId itemId
/dashboard/{dashboardId}/items/{itemId}/properties/{propertyKey},DELETE,"


Deletes a dashboard item property.

",dashboardDashboardIdItemsItemIdPropertiesPropertyKeyDelete,dashboardId itemId propertyKey
/dashboard/{dashboardId}/items/{itemId}/properties/{propertyKey},GET,"


Returns the key and value of a dashboard item property.

",dashboardDashboardIdItemsItemIdPropertiesPropertyKeyGet,dashboardId itemId propertyKey
/dashboard/{dashboardId}/items/{itemId}/properties/{propertyKey},PUT,"


Sets the value of a dashboard item property. Use this resource in apps to store custom data against a dashboard item.

",dashboardDashboardIdItemsItemIdPropertiesPropertyKeyPut,dashboardId itemId propertyKey
/dashboard,GET,"


Returns a list of dashboards owned by or shared with the user. The list may be filtered to include only favorite or owned dashboards.

",dashboardGet,opts
/dashboard/{id},GET,"


Returns a dashboard.

",dashboardIdGet,id
/expression/eval,POST,"


Evaluates a Jira expression and returns its value.

",expressionEvalPost,opts
/field/{fieldKey}/option,GET,"


Returns all options defined for a select list issue field. A select list issue field is a type of issue field that allows a user to select an value from a list of options.

",fieldFieldKeyOptionGet,fieldKey opts
/field/{fieldKey}/option/{optionId},DELETE,"


Deletes an option from a select list issue field.

",fieldFieldKeyOptionOptionIdDelete,fieldKey optionId
/field/{fieldKey}/option/{optionId},GET,"


Returns an option from a select list issue field.

",fieldFieldKeyOptionOptionIdGet,fieldKey optionId
/field/{fieldKey}/option/{optionId}/issue,DELETE,"


Deselects a select list issue field option in all issues that it has been selected in. A different option can be selected to replace the deselected option. The update can also be limited to a smaller set of issues by using a JQL query.

",fieldFieldKeyOptionOptionIdIssueDelete,fieldKey optionId opts
/field/{fieldKey}/option/{optionId},PUT,"


Updates an option for a select list issue field. If the option does not exist, a new option is created.

",fieldFieldKeyOptionOptionIdPut,fieldKey optionId opts
/field/{fieldKey}/option,POST,"


Creates an option for a select list issue field.

",fieldFieldKeyOptionPost,fieldKey opts
/field/{fieldKey}/option/suggestions/edit,GET,"


Returns options defined for a select list issue field that can be viewed and selected by the currently logged in user.

",fieldFieldKeyOptionSuggestionsEditGet,fieldKey opts
/field/{fieldKey}/option/suggestions/search,GET,"


Returns options defined for a select list issue field that can be viewed by the currently logged in user.

",fieldFieldKeyOptionSuggestionsSearchGet,fieldKey opts
/field,GET,"


Returns all issue fields in Jira, both system and custom fields.

",fieldGet,
/field,POST,"


Creates a custom field.

",fieldPost,opts
/filter/defaultShareScope,GET,"


Returns the default sharing settings for new filters and dashboards for a user. Permissions required: Permission to log in to Jira (i.e., member of the users group).

",filterDefaultShareScopeGet,
/filter/defaultShareScope,PUT,"


Sets the default sharing for new filters and dashboards for a user. Permissions required: Permission to log in to Jira (i.e., member of the users group).

",filterDefaultShareScopePut,opts
